x coordinate,y coordinate,z coordinate,Wifi ID,Wifi RSS,File name
23.0,84.0,2.0,00:f8:2c:1b:fb:8d,-40,1.csv
23.0,84.0,2.0,00:f8:2c:1b:fb:8e,-41,1.csv
23.0,84.0,2.0,00:f8:2c:1b:fb:80,-53,1.csv
23.0,84.0,2.0,00:f8:2c:1b:fe:a5,-65,1.csv
23.0,84.0,2.0,80:02:9c:1a:f2:cf,-69,1.csv
23.0,84.0,2.0,54:8a:ba:dc:37:cd,-70,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:09,-71,1.csv
23.0,84.0,2.0,54:8a:ba:dc:37:cc,-71,1.csv
23.0,84.0,2.0,54:8a:ba:dc:37:ce,-71,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:00,-72,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:06,-72,1.csv
23.0,84.0,2.0,54:8a:ba:dc:37:cb,-72,1.csv
23.0,84.0,2.0,54:8a:ba:dc:37:c2,-72,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:0b,-74,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:0d,-75,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:08,-75,1.csv
23.0,84.0,2.0,58:d6:97:65:75:6c,-75,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:0c,-76,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:09,-77,1.csv
23.0,84.0,2.0,18:8b:45:08:92:4c,-77,1.csv
23.0,84.0,2.0,00:b6:70:94:cb:0e,-78,1.csv
23.0,84.0,2.0,54:8a:ba:db:92:a0,-79,1.csv
23.0,84.0,2.0,54:8a:ba:dc:eb:6c,-79,1.csv
23.0,84.0,2.0,54:8a:ba:dc:eb:6e,-79,1.csv
23.0,84.0,2.0,18:8b:45:08:92:4b,-79,1.csv
23.0,84.0,2.0,54:8a:ba:dc:eb:6d,-80,1.csv
23.0,84.0,2.0,54:8a:ba:dc:eb:6b,-80,1.csv
23.0,84.0,2.0,18:8b:45:08:92:4d,-80,1.csv
23.0,84.0,2.0,18:8b:45:08:92:4a,-80,1.csv
23.0,84.0,2.0,00:f8:2c:1b:fe:ae,-80,1.csv
23.0,84.0,2.0,18:8b:45:08:92:4f,-81,1.csv
23.0,84.0,2.0,00:f8:2c:1b:fe:ad,-81,1.csv
